Training Time (s),Average CPU Utilization (%),Average Memory Utilization (%),Power Consumption (W),Energy Consumption (J),Test Accuracy
138.37112736701965,72.77372262773723,89.79854014598538,75.4963503649635,10446.515112095505,0.6970999836921692
164.70764207839966,61.599386503067485,89.1361963190184,65.43944785276074,10778.377154740614,0.7034000158309937
66.0131516456604,70.24090909090908,89.12878787878788,47.260605909090906,3119.821544742612,0.6628000140190125
72.88779878616333,67.77260273972603,84.42465753424658,45.78924849315069,3337.4775307383998,0.675599992275238
91.35000729560852,63.02967032967033,88.63516483516483,42.96198648351648,3924.577778703065,0.6258000135421753
82.0487687587738,76.73414634146341,88.96951219512195,51.13122463414634,4195.254026359992,0.48890000581741333
37.300358295440674,43.92702702702703,87.28648648648648,31.57490081081081,1177.7551133862435,0.48510000109672546
19.583653688430786,38.84000000000001,23.64,28.542524000000004,558.9669054097243,0.8913000226020813
18.269686460494995,48.44736842105262,23.72105263157895,34.26947631578947,626.0925874548327,0.8740000128746033
16.41208529472351,46.82352941176471,23.788235294117648,33.30150588235294,546.5471549839132,0.8931999802589417
16.815020322799683,47.54705882352941,23.85882352941176,33.73280176470588,567.2177472185024,0.8468999862670898
8.257063865661621,22.944444444444446,23.933333333333334,19.067183333333332,157.43895052161216,0.847000002861023
337.3082880973816,81.73582089552238,24.14179104477612,54.1127228358209,18252.669904038834,0.9193000197410583
